,Barcodes,9-13,10-13,11-13,12-13,13-13,14-13,15-13,16-13,9-14,10-14,11-14,12-14,13-14,14-14,15-14,16-14,9-15,10-15,11-15,12-15,13-15,14-15,15-15,16-15,9-16,10-16,11-16,12-16,13-16,14-16,15-16,16-16,9-17,10-17,11-17,12-17,13-17,14-17,15-17,16-17,9-18,10-18,11-18,12-18,13-18,14-18,15-18,16-18,9-19,10-19,11-19,12-19,13-19,14-19,15-19,16-19,9-20,10-20,11-20,12-20,13-20,14-20,15-20,16-20,9-21,10-21,11-21,12-21,13-21,14-21,15-21,16-21,9-22,10-22,11-22,12-22,13-22,14-22,15-22,16-22,9-23,10-23,11-23,12-23,13-23,14-23,15-23,16-23,9-24,10-24,11-24,12-24,13-24,14-24,15-24,16-24
0,1,3212,2380,5,1,3,1,0,0,1,1212,15,0,1,0,0,0,2,2641,2,0,5,0,0,0,4131,20013,681,1318,13,1,3,1,4104,20209,2868,4966,1474,6,1,3,4750,21735,490,1279,2215,5,2,0,8,270,0,1,1,0,0,0,3,61,5,3,0,0,0,0,5,24,0,1,0,0,0,0,5,6714,1768,138,5,1,2,2,3,6305,4352,2315,2992,3,2,1,1,2788,706,2116,1766,2,0,1
1,2,249,98,2,0,0,0,0,0,0,155,0,0,0,0,0,0,0,166,0,0,0,0,0,1,300,6,0,0,0,0,0,0,347,13,0,0,0,0,0,0,332,16,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,271,243,11,0,1,0,0,0,1,296,1459,5133,84,1,3,2,1,257,4,0,0,0,0,0,348,10,0,0,0,0,0,0,430,13,1,0,0,0,0,0,363,12,0,0,0,0,0,0,0,177,4,0,0,0,0,0,1,126,8327,725,30,1,2,0,1,179,0,0,0,0,0,0,2,5,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,572,195,3,0,0,0,0,0,0,274,0,0,0,0,0,0,0,245,21,5,1,0,0,0,400,11,0,0,0,0,0,0,409,14,0,0,0,0,0,0,414,15,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,32,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,143,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,55,1,0,0,0,0,0,0,27,5,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,153,129,18,0,0,0,0,0,1,183,4,0,0,0,0,0,0,184,11,0,0,0,0,0,224,10,0,0,0,0,0,0,274,8,0,0,0,0,0,0,245,10,0,0,0,0,0,0,0,193,4,0,0,0,0,0,0,90,1,0,0,0,0,0,1,165,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6,7,202,215,4606,17674,2837,6,5,2,0,283,1305,9864,283,2,2,2,1,272,25,1,3,0,0,0,281,7,0,2,0,0,0,0,356,6,0,2,0,0,0,0,326,8,0,0,0,0,0,0,0,472,22754,6377,6841,11,4,4,1,278,9275,1367,50,2,2,0,2,592,6,0,0,0,0,1,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7,8,234,117,1,0,0,0,0,0,0,144,0,0,0,0,0,0,0,98,1,0,0,0,0,0,105,43,0,0,0,0,0,0,88,7,0,0,0,0,0,0,62,10,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,345,151,2,0,0,0,0,0,0,117,0,0,0,0,0,0,0,175,1,0,0,0,0,0,239,11,0,0,0,0,0,0,173,16,0,1,0,0,0,0,221,13,0,0,0,0,0,0,0,70,0,0,0,0,0,0,1,15,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9,10,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,161,109,43,12,1,0,0,0,0,133,5,0,0,0,0,0,0,136,8,0,0,0,0,0,191,3,0,0,0,0,0,0,184,4,0,0,0,0,0,0,168,6,7,3,0,0,0,0,0,163,44,0,0,0,0,0,0,61,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,5,1,0,0,0,0
11,12,138,65,1,0,0,0,0,0,0,84,1,0,0,0,0,0,0,90,0,0,0,0,0,0,83,1,0,0,0,0,0,0,109,5,0,0,0,0,0,0,101,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,176,436,0,0,1,0,0,0,0,346,0,0,0,0,0,0,0,526,2,1,0,0,0,0,250,2,0,0,0,0,0,0,378,22,0,0,0,0,0,0,325,31,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
13,14,344,162,0,0,0,0,0,0,0,173,1,0,0,0,0,0,0,156,0,0,0,0,0,0,227,8,0,0,0,0,0,0,229,12,1,0,0,0,0,0,267,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,86,6810,8537,51,1287,1,4,1,2,6030,11533,53,178,2,1,1,2,7549,10658,3001,134,2,0,2,662,1203,6318,3010,4338,5,2,0,642,1415,7865,808,147,3,1,1,667,1475,12129,8420,9310,9,1,0,1,10049,440,348,2852,2,2,0,0,14609,325,346,34,0,1,0,3,13429,1865,1606,19,2,1,0,5,11696,4710,2593,6994,7,3,3,5,12535,4453,103,55,3,2,1,1,10365,13124,3653,11343,6,1,2
15,16,143,177,48,0,0,0,0,0,0,253,14,0,0,0,0,0,0,227,33,1,0,0,0,0,272,10,0,0,0,0,0,0,291,11,0,0,0,0,0,0,246,3,0,0,0,0,0,0,0,287,3,0,0,0,0,0,1,158,5,0,0,0,0,0,2,266,12,0,0,0,0,0,0,11,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,17,390,154,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,139,1,0,0,0,0,0,145,11,0,0,0,0,0,0,123,11,0,0,0,0,0,0,132,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,184,393,58,1,0,0,0,0,0,604,32,0,0,0,0,0,0,506,74,0,2,1,0,0,267,9,1,0,0,0,0,0,310,18,1,0,0,0,0,0,274,9,1,0,0,0,0,0,0,324,3,0,0,0,0,0,1,261,0,0,0,0,0,0,0,531,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,19,113,165,40,0,0,0,0,0,0,189,31,0,0,0,0,0,1,248,30,0,1,0,0,0,155,9,16,7,0,0,0,0,165,17,0,0,0,0,0,0,156,15,1,0,0,0,0,0,0,430,3,0,1,0,0,0,0,94,1,0,0,0,0,0,1,241,9,0,0,0,0,0,0,35,25,0,0,0,0,0,1,18,0,0,0,0,0,0,0,7,0,0,0,0,0,0
19,20,338,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,50,1,0,0,0,0,0,0,46,1,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,113,160,14,1,0,0,0,0,0,162,10,0,0,0,0,0,0,205,11,0,0,0,0,0,148,16,0,0,0,0,0,0,144,26,4,0,0,0,0,0,166,68,1,0,0,0,0,0,0,178,0,1,1,0,0,0,0,42,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,19,0,0,0,0,0,0
21,22,213,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,108,2,0,0,0,0,0,0,84,0,0,0,0,0,0,0,134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,194,22,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,19,0,0,0,0,0,0,59,4,0,0,0,0,0,0,49,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,209,20,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,33,0,0,0,0,0,0,31,1,0,0,0,0,0,0,38,7,1,0,0,0,0,0,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,160,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,101,4,0,0,0,0,0,0,114,1,0,0,0,0,0,0,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,283,636,123,0,0,0,0,0,0,793,162,1,1,0,0,1,0,771,331,518,201,0,0,1,305,43,22,0,0,0,0,0,432,305,40,1,0,0,0,0,361,233,14,0,0,0,0,0,0,269,7,0,0,1,0,0,1,325,2,0,1,0,0,0,0,375,207,745,89,0,0,0,1,62,2,0,2,0,0,0,0,238,0,0,0,0,0,0,0,56,2,0,0,0,0,0
26,27,322,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,52,2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,133,237,15,0,0,0,0,0,0,275,21,0,0,0,0,0,0,287,1202,2675,54,0,1,0,191,3,0,0,0,0,0,0,252,51,0,0,0,0,0,0,249,61,1,0,0,0,0,0,0,127,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,168,4003,273,158,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0
28,29,131,1408,580,0,2,0,0,0,0,1646,1288,2,2,0,0,0,0,2512,2190,4,0,0,1,0,239,138,920,96,381,1,0,0,272,976,6767,239,623,0,0,0,309,1212,3527,355,221,1,0,2,0,1138,2,0,1,0,0,0,2,712,9,2,2,0,0,0,1,1992,13,1,2,1,0,0,2,734,361,150,328,0,0,0,1,4032,1057,150,2899,6,0,0,1,7018,446,270,85,0,2,0
29,30,173,151,25,0,0,0,0,0,0,202,20,0,0,0,0,0,0,221,83,124,0,0,0,0,230,10,0,0,0,0,0,0,302,13,0,0,0,0,0,0,260,4,0,0,0,0,0,0,0,299,5,0,1,0,0,0,0,122,5,0,1,0,0,0,0,272,315,1,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,87,111,26,0,0,0,0,0,0,163,6,0,0,0,0,0,0,131,32,1,1,0,0,0,145,11,0,0,0,0,0,0,198,16,0,0,0,0,0,0,205,8,0,0,0,0,0,0,0,156,2,0,0,0,0,0,0,93,0,0,0,0,0,0,0,131,20,0,0,0,0,0,0,9,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,33,127,27,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,15,0,0,1,0,0,0,101,1,0,0,0,0,0,0,90,1,0,0,0,0,0,0,103,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,170,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,154,4,0,0,0,0,0,0,137,0,0,0,0,0,0,0,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,136,39,4,0,0,0,0,0,0,50,2,0,0,0,0,0,0,41,2,0,0,0,0,0,88,11,0,0,0,0,0,0,73,11,0,0,0,0,0,0,70,4,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,354,58,1,0,0,0,0,0,0,89,0,0,0,0,0,0,0,90,0,0,0,0,0,0,183,9,0,0,0,0,0,0,166,27,0,0,0,0,0,0,175,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,397,40,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,46,0,0,0,0,0,0,107,0,0,0,0,0,0,0,144,12,0,0,0,0,0,0,173,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,338,205,8,0,0,0,0,0,0,237,3,0,0,0,0,0,0,197,2,0,0,0,0,0,405,13,0,0,0,0,0,0,431,13,0,0,0,0,0,0,352,10,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,39,209,368,49,0,2,0,0,0,0,582,22,10,0,0,0,0,0,480,78,0,1,0,0,0,259,22,4,0,1,0,0,0,313,37,1,0,0,0,0,0,260,19,1,0,0,0,0,0,0,312,1,1,1,0,0,0,0,246,5,0,0,0,0,0,0,461,3,0,0,0,0,0,0,155,9,1,0,0,0,0,0,45,0,0,0,0,0,0,0,7,0,0,0,0,0,0
39,40,141,85,2,0,0,0,0,0,0,98,2,0,0,0,0,0,0,93,0,0,0,0,0,0,171,3,0,0,0,0,0,0,162,4,0,0,0,0,0,0,164,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,175,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,167,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,152,63,6,0,0,0,0,0,0,47,1,0,0,0,0,0,0,46,3,0,0,0,0,0,87,4,0,0,0,0,0,0,67,10,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,147,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,93,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,273,105,4,0,0,0,0,0,0,129,211,0,0,0,0,0,0,139,0,0,1,0,0,0,269,13,0,0,0,0,0,0,290,13,0,0,0,0,0,0,253,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,1,22,49,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,113,73,3,0,0,0,0,0,0,126,0,0,0,0,0,0,0,130,4,0,1,0,0,0,148,8,0,0,0,0,0,0,141,5,0,0,0,0,0,0,142,4,1,0,0,0,0,0,0,36,1,0,0,0,0,0,0,23,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
